Consolidated,Number Of Engines,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Month,Year,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Fatal Injuries,Percent Serious Injuries,Percent Minor Injuries,Percent Uninjured,Percent Survivors
Boeing 737,168.0,1.0,218.0,63.0,10856.0,612,177359,11138.0,11137.0,88,74,0,0.00897827258035554,1.9572634225175074,0.5656311725623989,97.46812713233973,99.99102172741965
Boeing 757,48.0,0.0,3.0,9.0,4011.0,175,50369,4023.0,4023.0,25,22,0,0.0,0.07457121551081282,0.22371364653243847,99.70171513795675,100.0
Boeing 777,24.0,3.0,169.0,62.0,3005.0,117,32241,3239.0,3236.0,16,12,1,0.09262117937635073,5.217659771534424,1.9141710404445815,92.77554800864465,99.90737882062365
Boeing 767,32.0,3.0,62.0,13.0,2853.0,120,36251,2931.0,2928.0,18,15,1,0.1023541453428864,2.1153190037529854,0.44353462981917435,97.33879222108496,99.89764585465711
Boeing 747,16.0,0.0,25.0,3.0,601.0,20,8037,629.0,629.0,4,3,0,0.0,3.97456279809221,0.47694753577106513,95.54848966613673,100.0
Boeing 717,10.0,0.0,1.0,4.0,523.0,47,10068,528.0,528.0,5,5,0,0.0,0.1893939393939394,0.7575757575757576,99.0530303030303,100.0
Boeing 787,2.0,0.0,0.0,2.0,440.0,13,4034,442.0,442.0,2,2,0,0.0,0.0,0.4524886877828055,99.5475113122172,100.0
Boeing DC-10,3.0,0.0,11.0,1.0,168.0,5,2009,180.0,180.0,1,1,0,0.0,6.111111111111111,0.5555555555555556,93.33333333333333,100.0
Boeing A75,27.0,2.0,6.0,5.0,38.0,201,56429,51.0,49.0,28,0,1,3.9215686274509802,11.76470588235294,9.803921568627452,74.50980392156863,96.07843137254902
Boeing DHC-8-102,2.0,0.0,0.0,0.0,36.0,1,2012,36.0,36.0,1,1,0,0.0,0.0,0.0,100.0,100.0
Boeing DHC-8-311,2.0,0.0,0.0,1.0,32.0,8,2009,33.0,33.0,1,1,0,0.0,0.0,3.0303030303030303,96.96969696969697,100.0
