State,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Total Passengers,Total Survivors,Count,Favorable Result,Unfavorable Result,Percent Fatal Injuries,Percent Serious Injuries,Percent Minor Injuries,Percent Uninjured,Percent Survivors
 MD,27.0,52.0,23.0,1027.0,1129.0,1102.0,194,5,5,2.3914968999114263,4.605845881310895,2.0372010628875112,90.96545615589017,97.60850310008857
 VT,5.0,7.0,7.0,165.0,184.0,179.0,40,1,2,2.717391304347826,3.804347826086957,3.804347826086957,89.67391304347827,97.28260869565217
 NH,10.0,9.0,17.0,308.0,344.0,334.0,61,1,2,2.9069767441860463,2.616279069767442,4.941860465116279,89.53488372093024,97.09302325581395
 NJ,53.0,49.0,63.0,1384.0,1549.0,1496.0,216,8,12,3.4215622982569402,3.1633311814073597,4.0671400903808905,89.34796642995481,96.57843770174306
 IL,93.0,95.0,58.0,2462.0,2708.0,2615.0,365,21,22,3.4342688330871494,3.508124076809453,2.1418020679468244,90.91580502215658,96.56573116691285
 PA,69.0,202.0,80.0,1624.0,1975.0,1906.0,355,11,19,3.4936708860759493,10.227848101265822,4.050632911392405,82.22784810126582,96.50632911392405
 HI,40.0,39.0,28.0,986.0,1093.0,1053.0,73,5,7,3.6596523330283626,3.568161024702653,2.5617566331198534,90.21043000914914,96.34034766697164
 NY,160.0,132.0,76.0,3972.0,4340.0,4180.0,385,21,33,3.686635944700461,3.0414746543778803,1.7511520737327189,91.52073732718894,96.31336405529954
 MA,42.0,24.0,30.0,942.0,1038.0,996.0,146,4,9,4.046242774566474,2.312138728323699,2.8901734104046244,90.7514450867052,95.95375722543352
 MN,69.0,74.0,48.0,1406.0,1597.0,1528.0,302,7,14,4.3206011271133375,4.633688165309956,3.005635566687539,88.04007514088916,95.67939887288667
 VA,85.0,79.0,53.0,1656.0,1873.0,1788.0,325,11,19,4.538174052322478,4.217832354511479,2.829684997330486,88.41430859583555,95.46182594767753
 NC,129.0,150.0,84.0,2457.0,2820.0,2691.0,421,16,32,4.574468085106383,5.319148936170213,2.9787234042553195,87.12765957446808,95.42553191489361
 GA,198.0,130.0,83.0,3412.0,3823.0,3625.0,517,18,46,5.1791786555061465,3.4004708344232277,2.1710698404394457,89.24928066963118,94.82082134449385
 NV,101.0,84.0,35.0,1530.0,1750.0,1649.0,290,9,35,5.771428571428571,4.8,2.0,87.42857142857143,94.22857142857143
 FL,406.0,349.0,248.0,5315.0,6318.0,5912.0,1292,29,95,6.426084203861981,5.523899968344413,3.925292814181703,84.1247230136119,93.57391579613802
 MO,82.0,65.0,60.0,1038.0,1245.0,1163.0,312,9,17,6.586345381526105,5.220883534136546,4.819277108433735,83.37349397590361,93.4136546184739
 WV,34.0,30.0,24.0,410.0,498.0,464.0,74,3,9,6.827309236947792,6.024096385542169,4.819277108433735,82.32931726907631,93.17269076305222
 WA,116.0,147.0,86.0,1316.0,1665.0,1549.0,547,5,23,6.966966966966967,8.82882882882883,5.165165165165165,79.03903903903904,93.03303303303304
 TX,393.0,388.0,314.0,4474.0,5569.0,5176.0,1386,24,121,7.056922248159454,6.9671395223558985,5.638355180463279,80.33758304902136,92.94307775184055
 IA,50.0,48.0,29.0,556.0,683.0,633.0,191,3,18,7.320644216691069,7.027818448023426,4.24597364568082,81.40556368960469,92.67935578330894
 LA,79.0,66.0,44.0,878.0,1067.0,988.0,228,6,20,7.403936269915651,6.185567010309279,4.123711340206185,82.28678537956888,92.59606373008434
 RI,4.0,10.0,1.0,39.0,54.0,50.0,26,0,0,7.4074074074074066,18.51851851851852,1.8518518518518516,72.22222222222221,92.5925925925926
 MI,112.0,99.0,65.0,1225.0,1501.0,1389.0,358,9,33,7.461692205196535,6.595602931379081,4.330446369087275,81.61225849433711,92.53830779480346
 AK,252.0,317.0,186.0,2601.0,3356.0,3104.0,1265,5,36,7.508939213349225,9.445768772348034,5.542312276519666,77.50297973778308,92.49106078665076
 CT,29.0,24.0,27.0,290.0,370.0,341.0,96,1,6,7.837837837837839,6.486486486486487,7.297297297297297,78.37837837837837,92.16216216216216
 TN,93.0,89.0,54.0,930.0,1166.0,1073.0,282,6,22,7.975986277873071,7.632933104631218,4.631217838765009,79.7598627787307,92.02401372212692
 CA,556.0,552.0,309.0,5293.0,6710.0,6154.0,1606,35,138,8.286140089418778,8.226527570789866,4.605067064083458,78.8822652757079,91.71385991058122
 KS,51.0,67.0,29.0,447.0,594.0,543.0,259,1,19,8.585858585858585,11.27946127946128,4.882154882154882,75.25252525252525,91.41414141414141
 CO,177.0,196.0,80.0,1587.0,2040.0,1863.0,559,12,45,8.676470588235293,9.607843137254903,3.9215686274509802,77.79411764705883,91.32352941176471
 AZ,183.0,115.0,94.0,1502.0,1894.0,1711.0,650,9,30,9.66209081309398,6.071805702217529,4.963041182682154,79.30306230200634,90.33790918690602
 NE,47.0,25.0,24.0,324.0,420.0,373.0,139,2,14,11.190476190476192,5.952380952380952,5.714285714285714,77.14285714285715,88.80952380952381
 WI,95.0,114.0,58.0,531.0,798.0,703.0,326,6,20,11.904761904761903,14.285714285714285,7.268170426065162,66.54135338345864,88.09523809523809
 IN,68.0,59.0,44.0,380.0,551.0,483.0,277,1,28,12.341197822141561,10.707803992740473,7.985480943738657,68.96551724137932,87.65880217785845
 SC,71.0,68.0,40.0,388.0,567.0,496.0,234,2,16,12.522045855379188,11.992945326278658,7.054673721340388,68.43033509700176,87.47795414462081
 ID,95.0,105.0,55.0,484.0,739.0,644.0,434,0,16,12.855209742895804,14.208389715832206,7.442489851150203,65.49391069012178,87.1447902571042
 WY,52.0,44.0,36.0,271.0,403.0,351.0,164,1,14,12.903225806451612,10.918114143920596,8.933002481389577,67.24565756823822,87.09677419354838
 ND,21.0,25.0,17.0,97.0,160.0,139.0,100,0,8,13.125,15.625,10.625,60.62499999999999,86.875
 KY,42.0,42.0,39.0,191.0,314.0,272.0,149,2,7,13.375796178343949,13.375796178343949,12.420382165605096,60.828025477707,86.62420382165605
 OH,132.0,80.0,54.0,705.0,971.0,839.0,391,4,37,13.594232749742533,8.2389289392379,5.561277033985582,72.60556127703398,86.40576725025747
 ME,30.0,42.0,14.0,129.0,215.0,185.0,119,1,5,13.953488372093023,19.53488372093023,6.511627906976744,60.0,86.04651162790698
 DE,6.0,4.0,5.0,24.0,39.0,33.0,23,0,1,15.384615384615385,10.256410256410255,12.82051282051282,61.53846153846154,84.61538461538461
 MT,78.0,57.0,47.0,308.0,490.0,412.0,236,1,14,15.918367346938775,11.63265306122449,9.591836734693878,62.857142857142854,84.08163265306122
 OR,103.0,79.0,35.0,429.0,646.0,543.0,381,0,24,15.944272445820435,12.229102167182662,5.41795665634675,66.40866873065015,84.05572755417957
 OK,99.0,86.0,39.0,373.0,597.0,498.0,250,1,27,16.582914572864322,14.40536013400335,6.532663316582915,62.47906197654941,83.41708542713567
 MS,55.0,47.0,23.0,203.0,328.0,273.0,161,1,10,16.76829268292683,14.329268292682926,7.01219512195122,61.890243902439025,83.23170731707317
 UT,140.0,70.0,46.0,489.0,745.0,605.0,326,2,19,18.79194630872483,9.395973154362416,6.174496644295302,65.63758389261744,81.20805369127517
 AR,81.0,69.0,42.0,238.0,430.0,349.0,279,0,23,18.83720930232558,16.046511627906977,9.767441860465116,55.348837209302324,81.16279069767441
 NM,91.0,59.0,37.0,257.0,444.0,353.0,258,0,23,20.495495495495494,13.288288288288289,8.333333333333332,57.88288288288288,79.5045045045045
 AL,91.0,52.0,30.0,221.0,394.0,303.0,224,0,21,23.096446700507613,13.19796954314721,7.614213197969544,56.09137055837563,76.90355329949239
 SD,48.0,29.0,10.0,96.0,183.0,135.0,108,0,8,26.229508196721312,15.846994535519126,5.46448087431694,52.459016393442624,73.77049180327869
